stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
223,4086,"Kennedy Rd at Forbes Rd South Side",,43.755088,-79.277190,,,,,,1
224,6302,"44 Coe Hill Dr",,43.639189,-79.469561,,,,,,1
225,13466,"Kingston Rd at Old Kingston Rd",,43.773854,-79.183177,,,,,,1
226,4871,"Chisholm Ave at Crewe Ave",,43.694283,-79.305830,,,,,,1
227,8641,"Wellesworth Dr at Faversham Cres",,43.658866,-79.579656,,,,,,1
228,4903,"Coxwell Ave at Glebeholme Blvd",,43.685691,-79.324472,,,,,,1
229,6855,"Queen St West at Strachan Ave",,43.645403,-79.413052,,,,,,1
230,3419,"Chaplin Cres at Roselawn Ave",,43.705299,-79.423672,,,,,,1
231,11699,"10 Disco Rd",,43.701867,-79.592678,,,,,,2
233,8828,"Willowdale Ave at Wedgewood Dr",,43.790280,-79.410949,,,,,,1
235,5653,"Martin Grove Rd at Waterbury Dr",,43.687701,-79.568932,,,,,,2
236,438,"Opposite 1792 Birchmount Rd",,43.765676,-79.291272,,,,,,1
237,3405,"Ceramic Rd at Le Page Crt",,43.758851,-79.484719,,,,,,2
238,9962,"Crosby Ave at Warren Cres",,43.661701,-79.500094,,,,,,1
239,6941,"Rexdale Blvd at Frost St East Side",,43.712262,-79.563763,,,,,,1
242,465,"Birchmount Rd at Opposite Walkway to Ambercroft Blvd",,43.813928,-79.313425,,,,,,1
244,13963,"Roywood Dr at Fortrose Cres (West)",,43.765905,-79.329219,,,,,,1
245,6668,"3370 Pharmacy Ave",,43.805754,-79.331609,,,,,,1
246,6240,"Ameer Ave at Sultana Ave",,43.727038,-79.440355,,,,,,1
247,11714,"Neilson Rd at Malvern Town Centre (East Entrance)",,43.807900,-79.219949,,,,,,1
248,8387,"Underhill Dr at Roanoke Rd",,43.742000,-79.325315,,,,,,1
249,11230,"Concorde Pl at Concorde Gate South Side",,43.729085,-79.328506,,,,,,1
250,3618,"Finch Ave West at Torresdale Ave West Side",,43.772336,-79.451367,,,,,,1
251,3072,"Queen St East at Saulter St East Side",,43.659402,-79.347097,,,,,,1
252,6042,"Scarborough Golf Club Rd at Lawrence Ave East",,43.762027,-79.215999,,,,,,1
253,8592,"Warden Ave at Metropolitan Rd South Side",,43.766822,-79.302799,,,,,,1
255,2510,"Finch Ave East at Gaspe Rd East Side",,43.785766,-79.388562,,,,,,1
256,400,"Birchmount Rd at Denison St",,43.832649,-79.318647,,,,,,1
258,457,"Birchmount Rd at Opposite Walkway to River Grove Dr",,43.818437,-79.315416,,,,,,1
259,13903,"Neilson Rd at Neilson Park Dr",,43.814390,-79.226549,,,,,,1
260,116,"Bathurst St at Danby Ave",,43.749183,-79.437058,,,,,,1
261,9269,"Drewry Ave at Yonge St West Side",,43.787075,-79.417804,,,,,,1
262,2394,"Eglinton Ave West at Oriole Pkwy East Side",,43.705148,-79.405540,,,,,,1
263,6109,"St Clair Ave East at Herron Ave",,43.711293,-79.285075,,,,,,1
264,9203,"Heathrow Dr at Jane St",,43.725031,-79.509209,,,,,,1
265,5340,"Lawrence Ave West at Benton Rd",,43.710145,-79.472020,,,,,,1
